Tamanho do Cache | Total Hits | Total Misses | HitRatio |Tipo do Cache
10|129|149871|0,09|LFU
100|1037|148963|0,69|LFU
1000|7944|142056|5,30|LFU
10000|44064|105936|29,38|LFU
20000|63945|86055|42,63|LFU
30000|74746|75254|49,83|LFU
40000|80682|69318|53,79|LFU
50000|83873|66127|55,92|LFU
100000|85441|64559|56,96|LFU
10|32|149968|0,02|LRU
100|458|149542|0,31|LRU
1000|4355|145645|2,90|LRU
10000|34567|115433|23,04|LRU
20000|56528|93472|37,69|LRU
30000|70644|79356|47,10|LRU
40000|79172|70828|52,78|LRU
50000|83589|66411|55,73|LRU
100000|85441|64559|56,96|LRU
10|32|149968|0,02|FIFO
100|457|149543|0,30|FIFO
1000|4246|145754|2,83|FIFO
10000|31688|118312|21,13|FIFO
20000|51030|98970|34,02|FIFO
30000|63852|86148|42,57|FIFO
40000|72611|77389|48,41|FIFO
50000|79098|70902|52,73|FIFO
100000|85441|64559|56,96|FIFO
